pred	real
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	1
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	1
0.49207318	0
0.49207318	0
0.49207318	0
0.49207318	1
